Country,Country Code,Region,Date,Year,Number of MPs,Percent female MPs,Mean age,Median age,Percent MPs aged 30 or under,Percent MPs aged 35 or under,Percent MPs aged 40 or under,Percent MPs aged 41 to 60,Percent MPs aged 61 or over,Percent female MPs aged 30 or under,Percent female MPs aged 35 or under,Percent female MPs aged 40 or under,Percent female MPs aged 41 to 60,Percent female MPs aged 61 or over,Age Representation Index 30 or under (ARI 30),Age Representation Index 35 or under (ARI 35),Age Representation Index 40 or under (ARI 40),Age Representation Index 41 to 60 (ARI 41 to 60),Age Representation Index 61 or over (ARI 61 plus),Coverage MPs,Coverage Age,Coverage Gender
"Isle of Man","IMN","Western Europe","2021-09-23","2021","24","41.7","53.9","55.5","4.2","4.2","4.2","25","12.5","0","0","0","33.3","66.7","NA","NA","NA","NA","NA","100","41.7","100"
"Israel","ISR","Middle East and North Africa","2019-04-09","2019","120","22.5","52.4","54","0","5.8","20","51.7","28.3","0","14.8","29.6","63","7.4","0","0.14","0.38","1.56","2.00","100","100","100"
"Israel","ISR","Middle East and North Africa","2019-09-17","2019","120","22.5","52","53","0","5","18.3","54.2","27.5","0","14.8","25.9","66.7","7.4","0","0.12","0.35","1.64","1.95","100","100","100"
"Israel","ISR","Middle East and North Africa","2020-03-02","2020","120","25.8","51.4","49.5","0","4.2","20","56.7","23.3","0","9.7","25.8","71","3.2","0","0.10","0.38","1.72","1.65","100","100","100"
"Jamaica","JAM","South and Central America","2020-09-03","2020","63","28.6","58.6","57","0","4","8","48","44","0","16.7","16.7","50","33.3","0","0.1","0.15","1.45","3.11","100","39.7","100"
"Japan","JPN","Asia","2021-10-31","2021","465","9.9","55.5","56","0.4","1.1","6","62.7","31.3","0","2.2","6.5","63","30.4","0.01","0.03","0.12","1.92","2.24","99.8","99.8","99.8"
"Jordan","JOR","Middle East and North Africa","2016-09-20","2016","130","15.4","50.9","50","0.8","3.9","10.2","78.7","11","5","10","35","65","0","0.03","0.1","0.19","2.39","0.78","100","97.7","100"
"Kosovo","","Eastern Europe","2017-06-11","2017","120","33.3","40.5","40","10.9","31.9","52.1","45.4","2.5","20","45","60","40","0","NA","NA","NA","NA","NA","100","99.2","100"
"Kosovo","","Eastern Europe","2021-02-14","2021","120","35","43.1","42","12.1","20.7","44","49.1","6.9","21.4","31","50","50","0","NA","NA","NA","NA","NA","100","96.7","100"
"Kuwait","KWT","Middle East and North Africa","2016-11-26","2016","50","2","48.1","47","4.3","8.5","25.5","61.7","12.8","0","0","0","100","0","0.15","0.21","0.48","1.87","0.9","100","94","100"
"Kuwait","KWT","Middle East and North Africa","2020-12-05","2020","50","0","51.4","50","0","4.4","13.3","68.9","17.8","0","0","0","0","0","0","0.11","0.25","2.08","1.26","100","90","100"
"Kyrgyzstan","KGZ","Asia","2020-10-04","2020","120","16.2","52.3","53","0","2.6","6.8","74.4","14.5","0","5.3","10.5","68.4","21.1","0","0.06","0.13","2.25","1.03","97.5","97.5","97.5"
